Type,Localisation,Latitude,Longitude,Title,Price in DH,Tags,Tags_length,Area in m²,Rooms,Bedrooms,Bathrooms,Condition,Floor,House Age in ans
Appartements Casablanca,Gauthier à Casablanca,33.58891909184207,-7.628674507141113,Triplex au dernier étage au quartier Gauthier avec terrasse,5800000.0,"['562 m²', '10 Pièces', '5 Chambres', '5 Salles de bains', 'Bon état', '5-10 ans', '6ème étage']",7,562.0,10.0,5.0,5.0,Bon état,6.0,7
Appartements Casablanca,Palmier à Casablanca,33.580946541729524,-7.629060745239258,Duplex en dernier étage sans vis avis quartier palmier,4200000.0,"['279 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état', '5-10 ans', '6ème étage']",7,279.0,4.0,3.0,3.0,Bon état,6.0,7
Villas & maisons de luxe Casablanca,Sidi Maarouf à Casablanca,33.51821300640254,-7.644338607788086,Villa d'angle commerciale proche moustakbal,7000000.0,"['380 m²', '10 Pièces', '5 Chambres', '7 Salles de bains', 'Nouveau']",5,380.0,10.0,5.0,7.0,Nouveau,3.0,15
Villas & maisons de luxe Casablanca,CIL (Hay Salam) à Casablanca,33.57243690885356,-7.657556533813477,Villa d'angle commerciale au cil,9500000.0,"['440 m²', '7 Pièces', '6 Chambres', '6 Salles de bains', 'Nouveau']",5,440.0,7.0,6.0,6.0,Nouveau,3.0,15
Villas & maisons de luxe Casablanca,CIL (Hay Salam) à Casablanca,33.57243690885356,-7.657556533813477,OPPORTUNITE !! Vente Villa à Démolir Quartier CIL,8700000.0,"['570 m²', '2 Pièces', '1 Chambre', '1 Salle de bain', 'À rénover', '10-20 ans']",6,570.0,2.0,1.0,1.0,À rénover,3.0,15
Villas & maisons de luxe Casablanca,Anfa Supérieur à Casablanca,33.56170473792227,-7.630379283521052,Impasse calme a anfa superieur 1300m,34000000.0,"['1300 m²', '7 Pièces', '6 Chambres', '5 Salles de bains', 'À rénover']",5,1300.0,7.0,6.0,5.0,À rénover,3.0,15
Villas & maisons de luxe Casablanca,Anfa Supérieur à Casablanca,33.588597343995104,-7.66047477722168,Villa a raser anfa superieur,4558824.761494253,"['2300 m²', '10 Pièces', '6 Chambres', '6 Salles de bains', 'À rénover']",5,2300.0,10.0,6.0,6.0,À rénover,3.0,15
Maisons Casablanca,Sidi Maarouf à Casablanca,33.56170473792227,-7.630379283521052,Maison à vendre de 120 m² sur sidi maarouf,3500000.0,"['120 m²', '4 Pièces', '4 Chambres', '2 Salles de bains', 'Bon état']",5,120.0,4.0,4.0,2.0,Bon état,3.0,15
Appartements Casablanca,Hay Alamal à Casablanca,33.57155702436198,-7.596145366075149,Appartement pour famille,4558824.761494253,"['52 m²', '3 Pièces', '2 Chambres', '1 Salle de bain', 'Bon état', '1-5 ans']",6,52.0,3.0,2.0,1.0,Bon état,3.0,3
Appartements Casablanca,Racine à Casablanca,33.592458238962855,-7.648158073425293,Appartement à louer à racine,10000.0,"['200 m²', '4 Pièces', '3 Chambres', '3 Salles de bains', 'Bon état']",5,200.0,4.0,3.0,3.0,Bon état,3.0,15
Maisons Casablanca,Hay Hassani à Casablanca,33.57276429166677,-7.681702237968523,"Trouvez votre maison à acheter à Hay Hassani. 6 pièces confortables. Porte blindée, antenne parabolique.",1500000.0,"['85 m²', '6 Pièces', '6 Chambres', '3 Salles de bains', 'Bon état', '20-30 ans']",6,85.0,6.0,6.0,3.0,Bon état,3.0,25
