Marque,Modéle,Année-Modele,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Premiére main,état,Airbags,Climatisation,ABS,ESP,CD/MP3/Bluetooth,Prix
toyota,rav 4,2008,325000,diesel,9,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,88000
renault,megane 3,2009,135000,diesel,6,manuelle,3.0,ww au maroc,non,bon,True,True,True,True,True,85000
hyundai,i 10,2016,115000,essence,6,manuelle,5.0,ww au maroc,non,bon,True,True,True,True,True,66000
ford,focus,2010,225000,diesel,7,manuelle,5.0,ww au maroc,non,excellent,True,True,True,False,True,93000
opel,astra,2021,17500,diesel,7,manuelle,5.0,importée neuve,oui,non spécifié,False,False,False,False,False,190000
peugeot,208,2015,115000,essence,7,manuelle,5.0,ww au maroc,non,bon,False,True,True,False,False,72000
toyota,hilux,1998,375000,diesel,10,manuelle,3.0,ww au maroc,non,trés bon,False,False,False,False,False,68000
renault,captur,2013,62500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,False,120000
hyundai,i 10,2015,7500,essence,6,manuelle,5.0,ww au maroc,oui,trés bon,True,True,False,False,True,67000
toyota,corolla,2005,145000,essence,7,manuelle,5.0,ww au maroc,non,excellent,False,False,True,False,True,63000
renault,kangoo,2017,105000,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,False,False,True,110000
kia,sorento,2019,82500,diesel,9,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,180000
dacia,dokker,2017,77500,diesel,6,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,131000
dacia,duster,2015,135000,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,False,False,False,False,False,123000
ford,c-max,2019,12500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,173000
fiat,doblo,2016,2500,diesel,5,manuelle,5.0,ww au maroc,oui,excellent,True,True,False,False,True,78000
ford,ka,2014,97500,diesel,5,manuelle,3.0,non spécifié,non spécifié,trés bon,True,True,True,True,False,87000
peugeot,508,2015,135000,diesel,6,manuelle,5.0,ww au maroc,non,excellent,True,True,True,False,True,125000
mercedes-benz,classe e,2010,225000,diesel,9,manuelle,5.0,dédouanée,non,excellent,True,True,True,True,True,155000
renault,clio,2019,42500,diesel,6,manuelle,5.0,ww au maroc,oui,excellent,True,True,True,True,True,122000
renault,scenic,2011,375000,diesel,6,manuelle,5.0,dédouanée,non spécifié,excellent,True,True,True,True,True,119000
audi,a4,2004,27500,diesel,10,--,5.0,non spécifié,non spécifié,non spécifié,False,False,False,False,False,85000
volkswagen,touareg,2009,2500,diesel,8,manuelle,5.0,ww au maroc,non,excellent,False,False,False,False,False,90000
ford,fiesta,2018,77500,diesel,6,manuelle,5.0,ww au maroc,non,trés bon,False,True,False,False,True,125000
renault,symbol,2013,125000,diesel,6,manuelle,5.0,ww au maroc,non spécifié,bon,False,False,False,False,False,60000
toyota,corolla,2017,47500,diesel,5,manuelle,5.0,ww au maroc,non,excellent,False,False,False,False,False,150000
