,Lien,Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
16,https://www.avito.ma/fr/rabat/voitures/Audi_A3_s_line__49097845.htm,Rabat,,Audi,A3,2018,90 000 - 94 999,Diesel,6,Automatique,5.0,Dédouanée,Oui,,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,340000
17,https://www.avito.ma/fr/rabat/voitures/FORD_FOCUS__49097838.htm,Rabat,,Ford,Focus,2014,190 000 - 199 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Très bon,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,128000
18,https://www.avito.ma/fr/daoudiate/voitures/Peugeot_301_neuve_49097829.htm,Marrakech,Daoudiate,Peugeot,301,2018,50 000 - 54 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,107000
19,https://www.avito.ma/fr/t%C3%A9touan/voitures/Mercedes_c220_cdi_esprit_49097748.htm,Tétouan,,Mercedes-Benz,220,1998,300 000 - 349 999,Diesel,9,Manuelle,5.0,Dédouanée,Non,Excellent,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,87000
20,https://www.avito.ma/fr/anfa/voitures/Polo_49097678.htm,Casablanca,Anfa,Volkswagen,Polo,2014,30 000 - 34 999,Diesel,5,--,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,120000
21,https://www.avito.ma/fr/taza/voitures/Hyundai_i30_49097658.htm,Taza,,Hyundai,i 30,2011,110 000 - 119 999,Diesel,6,Manuelle,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,89000
22,https://www.avito.ma/fr/casablanca/voitures/opel_astra__49097620.htm,Casablanca,,Opel,Astra,2011,200 000 - 249 999,Diesel,7,Manuelle,5.0,WW au Maroc,Non,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83000
23,https://www.avito.ma/fr/taounate/voitures/grand_vitara__49097614.htm,Taounate,,Suzuki,Grand Vitara,2009,20 000 - 24 999,Diesel,7,Manuelle,5.0,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,90000
24,https://www.avito.ma/fr/2_mars/voitures/Opel_Astra_automatique_49097587.htm,Casablanca,2 Mars,Opel,Astra,2018,30 000 - 34 999,Diesel,6,--,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,185000
25,https://www.avito.ma/fr/el_jadida/voitures/Ford_Fiesta__49097572.htm,El Jadida,,Ford,Fiesta,2017,80 000 - 84 999,Diesel,6,Manuelle,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,102000
26,https://www.avito.ma/fr/mekn%C3%A8s/voitures/%D8%B3%D9%8A%D8%A7%D8%B1%D8%A9_%D9%86%D9%82%D9%8A%D8%A9_%D9%85%D8%B7%D9%88%D8%B1_%D9%85%D8%B2%D9%8A%D8%A7%D9%86__49097542.htm,Meknès,,Hyundai,H-1,2009,300 000 - 349 999,Diesel,10,Manuelle,5.0,WW au Maroc,Non,Bon,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,83000
27,https://www.avito.ma/fr/k%C3%A9nitra/voitures/Renault_Clio_49097458.htm,Kénitra,,Renault,Clio,2014,140 000 - 149 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,104000
28,https://www.avito.ma/fr/sidi_bou_othmane/voitures/Citroen_Berlingo_49097440.htm,Sidi Bou Othmane,,Citroen,Berlingo,2011,0 - 4 999,Diesel,7,Manuelle,5.0,WW au Maroc,Oui,Bon,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,88000
29,https://www.avito.ma/fr/bele_vue/voitures/Renault_talisman__49097377.htm,Meknès,Bele Vue,Renault,Talisman,2019,130 000 - 139 999,Diesel,6,Automatique,,WW au Maroc,Oui,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,266000
30,https://www.avito.ma/fr/sidi_slimane/voitures/308_active_bva_49097208.htm,Sidi Slimane,Toute la ville,Peugeot,308,2017,110 000 - 119 999,Diesel,6,Automatique,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,145000
31,https://www.avito.ma/fr/kh%C3%A9nifra/voitures/Volkswagen_GOLF_6_49097102.htm,Khénifra,Toute la ville,Volkswagen,GOLF 6,2009,250 000 - 299 999,Diesel,8,Manuelle,5.0,Dédouanée,Non,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,110000
32,https://www.avito.ma/fr/mekn%C3%A8s/voitures/audi_A3_49097095.htm,Meknès,,Audi,A3,2015,130 000 - 139 999,Diesel,6,Automatique,5.0,Dédouanée,Oui,Très bon,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,220000
33,https://www.avito.ma/fr/f%C3%A8s/voitures/kangoo_Evo__49074673.htm,Fès,,Renault,Kangoo,2019,95 000 - 99 999,Diesel,6,Manuelle,5.0,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,127000
34,https://www.avito.ma/fr/agadir/voitures/Audi_A3__49074668.htm,Agadir,,Audi,A3,2008,200 000 - 249 999,Diesel,8,Automatique,5.0,Importée neuve,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,92000
35,https://www.avito.ma/fr/2_mars/voitures/Renault_kangoo_frigorifique_49074643.htm,Casablanca,2 Mars,Renault,Kangoo,2010,100 000 - 109 999,Diesel,6,Manuelle,3.0,WW au Maroc,Oui,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,65000
36,https://www.avito.ma/fr/agadir/voitures/Bora_49074620.htm,Agadir,,Volkswagen,Bora,1999,200 000 - 249 999,Diesel,8,Manuelle,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,62000
37,https://www.avito.ma/fr/centre_ville/voitures/Volkswagn_tiguan_49074557.htm,Tanger,Centre ville,Volkswagen,Tiguan,2017,170 000 - 179 999,Diesel,8,--,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,310000
38,https://www.avito.ma/fr/f%C3%A8s/voitures/clio_4_49074541.htm,Fès,,Renault,Clio,2018,65 000 - 69 999,Diesel,6,Manuelle,5.0,WW au Maroc,Oui,Très bon,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,102000
39,https://www.avito.ma/fr/sal%C3%A9/voitures/%D9%83%D9%88%D9%86%D8%BA%D9%88_49074484.htm,Salé,,Renault,Kangoo,2006,5 000 - 9 999,Diesel,7,Manuelle,5.0,WW au Maroc,Non,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,70000
40,https://www.avito.ma/fr/casablanca/voitures/skoda_octavia_automatique_49074473.htm,Casablanca,,Skoda,Octavia,2017,140 000 - 149 999,Diesel,8,Automatique,5.0,,Non,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,178000
41,https://www.avito.ma/fr/tifelt/voitures/citroun_c3_49074465.htm,Tifelt,Toute la ville,Citroen,C3,2019,55 000 - 59 999,Diesel,6,Manuelle,5.0,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,110000
42,https://www.avito.ma/fr/casablanca/voitures/Nissan_qachqai__49074455.htm,Casablanca,,Nissan,Qashqai,2009,250 000 - 299 999,Diesel,6,Manuelle,5.0,Dédouanée,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,105000
43,https://www.avito.ma/fr/guercif/voitures/Mercedes_Classe_C180_48340990.htm,Guercif,Toute la ville,Mercedes-Benz,Classe C,2015,95 000 - 99 999,Diesel,6,Manuelle,5.0,Dédouanée,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,250000
